"External ID";"name";"Asset Code";"type";"is_cip";"Journal";"Asset Account";"Depreciation Entries: Asset Account";"Depreciation Entries: Expense Account";"method_time";"method_number";"method_period";"method";"prorata";"open_asset";"first_day_of_month";"method_end"
asset_prepaid_rent_-_related_parties_-__administrasi_service;Prepaid Rent - Related Parties -  Administrasi Service;AssetCode|PR;prepaid;false;Journal Depreciation;"115202";"115202";"60050204";number;36;1;linear;true;true;true;
asset_prepaid_rent_-_related_parties_others_-__penjualan_unit;Prepaid Rent - Related Parties Others -  Penjualan Unit;AssetCode|PR;prepaid;false;Journal Depreciation;"115299";"115299";"60050701";number;36;1;linear;true;true;true;
asset_prepaid_rent_-_related_parties_others_-__administrasi_unit;Prepaid Rent - Related Parties Others -  Administrasi Unit;AssetCode|PR;prepaid;false;Journal Depreciation;"115299";"115299";"60050702";number;36;1;linear;true;true;true;
asset_prepaid_rent_-_related_parties_others_-__penjualan_service;Prepaid Rent - Related Parties Others -  Penjualan Service;AssetCode|PR;prepaid;false;Journal Depreciation;"115299";"115299";"60050703";number;36;1;linear;true;true;true;
asset_prepaid_rent_-_related_parties_others_-__administrasi_service;Prepaid Rent - Related Parties Others -  Administrasi Service;AssetCode|PR;prepaid;false;Journal Depreciation;"115299";"115299";"60050704";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__penjualan_unit;Prepaid Insurance - Building -  Penjualan Unit;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080101";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__administrasi_unit;Prepaid Insurance - Building -  Administrasi Unit;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080102";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__penjualan_service;Prepaid Insurance - Building -  Penjualan Service;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080103";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__administrasi_service;Prepaid Insurance - Building -  Administrasi Service;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080104";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__accounting;Prepaid Insurance - Building -  Accounting;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080105";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__finance;Prepaid Insurance - Building -  Finance;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080106";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__collection;Prepaid Insurance - Building -  Collection;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080107";number;36;1;linear;true;true;true;
asset_construction_in_progress_building_and_improvement_-_finance;Construction in Progress Building and Improvement - Finance;AssetCode|B;fixed;true;Journal Depreciation;"146101";"151102";"60110106";number;0;1;linear;true;false;true;
asset_construction_in_progress_building_and_improvement_-_collection;Construction in Progress Building and Improvement - Collection;AssetCode|B;fixed;true;Journal Depreciation;"146101";"151102";"60110107";number;0;1;linear;true;false;true;
asset_prepaid_insurance_-_building_-__hr;Prepaid Insurance - Building -  HR;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080108";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__legal;Prepaid Insurance - Building -  Legal;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080109";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__internal_audit;Prepaid Insurance - Building -  Internal Audit;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080110";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__it;Prepaid Insurance - Building -  IT;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080111";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__bod;Prepaid Insurance - Building -  BOD;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080112";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__vehicle;Prepaid Insurance - Building -  Vehicle;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080113";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__budget;Prepaid Insurance - Building -  Budget;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080114";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__tax;Prepaid Insurance - Building -  Tax;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080115";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__marketing_ho;Prepaid Insurance - Building -  Marketing HO;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080116";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__corpcom_&_customer_relation;Prepaid Insurance - Building -  Corpcom & Customer Relation;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080117";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__mpd;Prepaid Insurance - Building -  MPD;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080118";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__ga_ho;Prepaid Insurance - Building -  GA HO;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080119";number;36;1;linear;true;true;true;
asset_prepaid_insurance_-_building_-__secretary;Prepaid Insurance - Building -  Secretary;AssetCode|PI;prepaid;false;Journal Depreciation;"115301";"115301";"60080120";number;36;1;linear;true;true;true;
